method,budget,seed,attempted,scored,eligible_scored,successes,success_rate,coverage_rate,mean_absolute_delta
random_graph::node_delete,5,17,58,45,24,2,0.08333333333333333,0.7758620689655172,0.07730187542746646
random_graph::node_delete,5,29,58,43,23,1,0.043478260869565216,0.7413793103448276,0.09638952883126528
random_graph::node_delete,5,42,58,42,22,0,0.0,0.7241379310344828,0.0674563175802297
random_graph::node_delete,5,61,58,44,24,3,0.125,0.7586206896551724,0.10052608556374425
random_graph::node_delete,5,73,58,42,23,1,0.043478260869565216,0.7241379310344828,0.09213719918487567
random_graph::node_delete,5,89,58,43,23,1,0.043478260869565216,0.7413793103448276,0.0774614351215863
random_graph::node_delete,5,101,58,45,24,0,0.0,0.7758620689655172,0.08111124786941394
random_graph::node_delete,5,137,58,42,23,3,0.13043478260869565,0.7241379310344828,0.08615071075652762
random_graph::node_delete,5,2026,58,43,23,2,0.08695652173913043,0.7413793103448276,0.09352888343666704
winner_xfg::targeted_subgraph_injection,1,7,30,30,30,2,0.06666666666666667,1.0,0.12058482615627156
winner_xfg::targeted_subgraph_injection,1,17,30,30,30,2,0.06666666666666667,1.0,0.12058482573721808
winner_xfg::targeted_subgraph_injection,1,29,30,30,30,2,0.06666666666666667,1.0,0.12058483028513477
winner_xfg::targeted_subgraph_injection,1,42,30,30,30,2,0.06666666666666667,1.0,0.12058482573722235
winner_xfg::targeted_subgraph_injection,1,61,30,30,30,2,0.06666666666666667,1.0,0.12058482680815448
winner_xfg::targeted_subgraph_injection,1,73,30,30,30,2,0.06666666666666667,1.0,0.12058482730486132
winner_xfg::targeted_subgraph_injection,1,89,30,30,30,2,0.06666666666666667,1.0,0.1205848262338359
winner_xfg::targeted_subgraph_injection,1,101,30,30,30,2,0.06666666666666667,1.0,0.12058482680815188
winner_xfg::targeted_subgraph_injection,1,137,30,30,30,2,0.06666666666666667,1.0,0.12058482871736316
winner_xfg::targeted_subgraph_injection,1,2026,30,30,30,2,0.06666666666666667,1.0,0.12058482863983971
winner_xfg::targeted_subgraph_injection,3,7,30,30,30,2,0.06666666666666667,1.0,0.11383717651259681
winner_xfg::targeted_subgraph_injection,3,17,30,30,30,2,0.06666666666666667,1.0,0.11383716954320298
winner_xfg::targeted_subgraph_injection,3,29,30,30,30,2,0.06666666666666667,1.0,0.11383717016724117
winner_xfg::targeted_subgraph_injection,3,42,30,30,30,2,0.06666666666666667,1.0,0.11383717253896082
winner_xfg::targeted_subgraph_injection,3,61,30,30,30,2,0.06666666666666667,1.0,0.11383717474309091
winner_xfg::targeted_subgraph_injection,3,73,30,30,30,2,0.06666666666666667,1.0,0.11383717587935296
winner_xfg::targeted_subgraph_injection,3,89,30,30,30,2,0.06666666666666667,1.0,0.11383716729251031
winner_xfg::targeted_subgraph_injection,3,101,30,30,30,2,0.06666666666666667,1.0,0.11383716806739624
winner_xfg::targeted_subgraph_injection,3,137,30,30,30,2,0.06666666666666667,1.0,0.11383716966932314
winner_xfg::targeted_subgraph_injection,3,2026,30,30,30,2,0.06666666666666667,1.0,0.1138371699312582
winner_xfg::targeted_subgraph_injection,5,7,30,30,30,2,0.06666666666666667,1.0,0.1380569701813231
winner_xfg::targeted_subgraph_injection,5,17,30,30,30,2,0.06666666666666667,1.0,0.1380569674493526
winner_xfg::targeted_subgraph_injection,5,29,30,30,30,2,0.06666666666666667,1.0,0.1380569657342578
winner_xfg::targeted_subgraph_injection,5,42,30,30,30,2,0.06666666666666667,1.0,0.1380569677731024
winner_xfg::targeted_subgraph_injection,5,61,30,30,30,2,0.06666666666666667,1.0,0.13805696645602808
winner_xfg::targeted_subgraph_injection,5,73,30,30,30,2,0.06666666666666667,1.0,0.13805696854356567
winner_xfg::targeted_subgraph_injection,5,89,30,30,30,2,0.06666666666666667,1.0,0.13805696968461773
